tweet,sentiment,Subjectivity
hi per chat conversation one executives hope issue resolved loki,1,0.0
hi terribly sorry hear experience please dm us registered contact details,0,1.0
hi pratek apologies delay refund please dm us registered contact details,1,0.0
denying point order similar experience ordered,1,0.4
fodpanda swigy competition right,2,0.5357142857142857
received order mcd via swigy items rs woh missing contacted restaur,0,0.05
received order mcd via swigy items rs woh missing contacted restauran,0,0.05
wrong order items delivered please check order delivered earlier ex,0,0.7
looted money changed policy sma move zomatogold,1,0.0
stop using lack delivery hours track guys,1,0.0
swigy launches pop focus singleserve meals quick ordering,2,0.5
hi sincerely apologize inconvenience caused request share order details,2,0.5
looks like zomato shot foot give offers,2,0.0
hours since placed order still waiting thanks making consider swigy,2,0.2
today waiting around one hour forced cancel order swigy delivery boy told tha,0,0.2
today eagerly waited order fodpandaorder codeamlki pathetic behavior delivery boy,0,1.0
hey regret hear weekend dinner checked right away vs,2,0.5357142857142857
highlighting tempting pictures desses ap amp delivering ordinarily average items thi,0,0.39999999999999997
plus hour chat service amp still hanging,1,0.0
issue got resolved last week swigy thank,1,0.06666666666666667
wat ur representative promise last tym mistakes differ swigy make,1,0.06666666666666667
suggest use place order use want good facility,2,0.6000000000000001
request everyone subscribe swigy super useless waste money,0,0.2888888888888889
absolute nonsehopeles delivery systemwaste time,2,0.9
delivery person gone somewhere else instead coming place top,2,0.5
look review square vishal gaon,1,0.0
hi sad hear kindly dm us contact number reach,2,0.95
dinner today love child amp ordered zomato packed swigy box cello tap,2,0.6
never pay swigy online always keep hanging cod options recv payment,1,0.0
messaged customer service zomato even replying already minutes hav,1,0.0
hey ur promotion delivery waste time ordered twice time order cancelled,0,0.0
hi stavan apologies complete mess getting checked,0,0.2875
review burger king conaught place,1,0.0
worst order want money back,0,0.5
today eagerly waited order fodpandaorder codeamlki pathetic behavior delivery boy ranjit ka,0,1.0
bad service ranchi st order misplaced rider nd repetitive order expedited,0,0.37222222222222223
restaurants remaining complete nagpur city supo zomato gold,2,0.4
review burger king conaught place burgerking zomato worstexperience,1,0.0
fodpanda big fraudi experienceswigy far better,2,0.5333333333333333
still waiting,1,0.0
follow food journey,1,0.0
hi ordered food fodpanda receiving mail restaurant,1,0.0
reviewed spukies veg sigre goregaon east rated lovefod,1,0.0
first order misplaced zomato rider second getting delayed,2,0.17777777777777778
opinion one underrated facts info edge investe companies ability gener,1,0.0
sta promotions handle restaurants wasteoftime fodpanda fodservice,1,0.0
really cares customer forget ordering fodpanda lif,2,0.2
wife aj khana bahar order kare zomato try kar wife zomato bahut sare animals hote hain wife,1,0.0
zomato made stupid well done ab yese tum logo ko chodunga nhi,0,1.0
worst service swigy delay delivery customer supo,0,1.0
hey sumit swigy order notified swigy refund differ confi,1,0.0
chat customer care last min get food delivery,1,0.06666666666666667
please stop cheating customers order id,1,0.0
dont think actually price tax holiday cheaper noticed yesterday,1,0.1
hi rohit apologies hassle getting checked reach asap,1,0.0
outlet menu items different rates direct order online order please,2,0.5
fodpanda promised minutes ordered pm order delivered response supo tea,1,0.0
fodpanda got nearby teh tarik ha,1,0.0
really disappointed services provided restaurants provide bad quality food charg,0,0.7083333333333333
improve customer service instead marketing,1,0.0
hey aditi sad hear kindly dm us contact number,2,0.95
dissatisfied zomato order id ale ale ale leave zomato sta swigy least food,0,0.4
issue solved side thank much great service,2,0.75
zomato wish try get ready regret,2,0.5
dissatisfied order id ale ale ale leave zomato sta swigy least food,0,0.4
differ month pay heed block th,1,0.0
day time intern night time fodpanda life stas today,1,0.0
worst food delivered ur chat team says replacement bt already late want refund,0,0.8
terrible experience ever mr shivam said arranging meal til,0,1.0
hey sahil apologies mess getting checked reach asap,0,0.175
kind behaviour get remains wd ur regular customer nobody order food guys,2,0.4884615384615385
better go food outside rather zomato would woh,2,0.275
hour got cold food ordered butter roti got plain roti pics attached,0,0.6785714285714286
stop playing customers reference order id,1,0.0
resolve issue refund mh hard earned money back becoz already bought food restaurant near,0,0.3138888888888889
resolve issue refund mh hard earned money back becoz already bought food restaurant near ho,0,0.3138888888888889
uncertain zomato twitter handler hiding,1,0.0
kind behaviour get remains wd ur regular customer nobody order food guys future,2,0.36730769230769234
one hour late three drunk idiots turn deliver order take money leave scooter wi,0,0.8000000000000002
friend placed order veg chilli cheese crispy veg fodpanda paid via phone pe,1,0.0
swigy get discount using ici credit cards min max disc valid twice till th sep,1,0.0
whts going resolve issue switch,1,0.0
hi order turn customer care time try,1,0.0
hey debjani sounds real terrible kindly share order details shal get checked asap,0,0.95
swigy worst experience ordered ice cream waited hour delivery guy calls inform deli,0,1.0
reason swigy charged canation fee order woh,1,0.0
hey guys pathetic service hours since ordered food still neither th,0,1.0
chat supo team crime waiting happen please take action agai,2,0.1
hey ria sorry ruin sunday dinner getting checked reach asap,0,1.0
enjoy dinner anda bhavan today special setdosa vadacury khichdi visit us lake terrace tower cl,2,0.5357142857142857
enjoy dinner anda bhavan today special setdosa vadacury khichdi visit us lake terrace tower clust,2,0.5357142857142857
live alone poses personal security risk customers like delive,2,0.4
fodpanda serving meals soldierw killing indian soldiers,1,0.0
much time waiting,2,0.2
swigy get discount using ici credit cards min max disc valid twice till th sep use,1,0.0
one hour late three drunk idiots turn deliver order take money leave scooter without,0,0.8000000000000002
swigy people charged cancellation fethis ridiculouswhen ur websi,1,0.0
zomato solve rider paners issues solve cx issues disappointed,0,0.75
swigy delivery boys flouting traffic rules daily chennai city,1,0.0
dear delivery guy midsea rechecked disorder fish mumbai,1,0.0
used python know spending habits swigy made orders past two years kola,0,0.25
anuj unlabeled rite people mentioned name delivery,1,0.0
hi order food swigy received order minutes showing,1,0.0
need join paner swigy platform ramani redy,1,0.0
twitter handles also replying service swigy,1,0.0
burgersingh zomato look review burger king conaught place,1,0.0
look review mcdonald fo mumbai,1,0.0
yet issue resolved nd call nd reply came yet nd,1,0.0
zomato acquires bengaluru staup tonguestun tap corporate cafeteria sector,1,0.0
burgerking zomato worstexperience look review burger king conaught place,1,0.0
people urslf claim delivering order without consent cnsumerwe unawre order bt claim fulfild,1,0.0
service provideur delivery boys instead delivering order switched celnow want us rate,1,0.0
zomato give proper training delivery boy assigned,1,0.1
hours meant long hours amp cold food though,0,0.7
hey vikas really unacceptable please share order number checked mrd,2,0.2
order noyqsj asked deliverd away delivery adresi,1,0.0
waiting minutes response zomato chat help order delayed mins,1,0.0
look review think juice lower parel mumbai,1,0.0
specially evening deliveries agree training pa delivery aps,2,0.5714285714285714
repeatedly disillusioned swigy going walk restaurant cook food much nicer actually,2,0.15000000000000002
review barbecoa enterprises marathali,1,0.0
thanks details getting checked reaching mrd,2,0.2
pathetic ap purchase zomato gold typing first letters promo code acc,0,0.6666666666666666
look review young chilli vashi,2,0.4
dear impoant minute delay better running footpath must,2,0.5
break law need stern pl repair law amp keep,1,0.0
look review origami japanese korean restaurant powai,1,0.0
hopping assist end leave,1,0.0
tried calling customer service helpline guess everyone sundays ord,1,0.0
focus money rather customer trick zomato loved,2,0.8
real time swigy took order delivery guy called said restaurant,2,0.30000000000000004
lack employees honest indore delivery boys zomato play good amp planned,2,0.75
busy wait fault end end supo guy,2,0.3
hey join zomato gold get food drinks also get using referral code,1,0.0
busy wait fault end end supo guy name,2,0.3
wishing swigy around amp bro operated clay oven ganeshguri delivery nightmares good luck swigy,2,0.6000000000000001
hey harry kindly share concerned order number could get checked reach asap mrd,2,0.9
order food restaurant friends mobilewhen receive food deliv,1,0.0
never never ordering swigy middleman making money penalise rest,1,0.0
please refer link know crave pay,1,0.0
unable give order number due security purpose help providing,0,0.4375
really bad service always ordered swigy since days customer servic,0,0.6666666666666666
business worst customer supo restaurants behaved cust,0,1.0
fodpanda genuinely one convenient aps ever,2,0.5
tough competition among ubereats swigy amp zomato love swigy though,2,0.7166666666666667
fodpanda customer care thing food panda long waiting chats,0,0.4
look review grandma café dar east,1,0.0
hi snehasish endeavour provide seamless supo satisfactory resol,2,0.1
swigy please change help team ap understand disapoin,1,0.0
look review nasi me koramangala th block fodiaries,1,0.0
worst food delivery service uae last orders delivered average hour late,0,0.5166666666666666
worst food provider ordered pizza byt swigy shown something sent something else,0,1.0
hell going swigy executives making fool customers customer bus,1,0.0
swigy mint loyal customers picture speaks words waiting gt hr swigy represent,2,0.8333333333333334
ordered hours still get order worst service ever poor fodpanda one help also,0,0.8
zomato run situation drones lol wheeled shopping bags automated loading unloading bus,2,0.7
worest service fodpanda guy disorder fodpanda accepting payments bu,1,0.0
register swigy ij earn rs download,1,0.0
spoke customer care agent telling fodpanda irresponsible customers order ple,1,0.0
hi intuit distress caused completely bear responsibility fi,2,0.4
also two bad experience zomato end soed problem,0,0.6666666666666666
first japanese restaurant review back twitter years look review origa,2,0.1111111111111111
call still say_farewell order hours zomato ch,1,0.0
even cant deliver many chicken dinners customers pubg swigy pubg,0,0.725
ordered burger fodpanda huda city centre outlet gurugram orde,1,0.0
belonged time group ten people sitting table could flash zomato gold coupons sm,1,0.0
today eagerly waited order fodpanda recd order noyijebi delivery boy,1,0.0
zomato good lies,2,0.6000000000000001
hi happened care tell us please dm us order id could follow team fodpanda,1,0.0
look review jafer bhai delhi darbar mohammad ali road,1,0.0
hi terribly sorry hear experience please dm us registered contact detail,0,1.0
screnshot zomato took ablot man hours disappoint,1,0.0
unicorn tag literally worst delivery se,0,1.0
changes terms conditions gold one gold used per diners,1,0.0
food delivery firms amp staed delisting restaurants platform lack,1,0.0
zomato swigy sta delisting restaurants without fsai licence,1,0.0
hey sachin never meant give bad experience please share order id,0,0.6666666666666666
hi intuit distress caused completely bear responsibility fix thi,2,0.4
hi sam sincerely apologize inconvenience caused request share order details,2,0.5
rome attend dese spanishsteps chocolate rome look review pompi,1,0.0
plz take pic taken kundanahali gate signal whr guy driving fo,1,0.0
plz take action pic taken kundanahali gate signal whr guy drivin,2,0.1
mr goyal face bed experience zomato accepted time food delivery,1,0.0
swigy think making people fool delivery time food quantity inappropriate swig,1,0.0
hi happened care tell us please dm us order id could follow team,1,0.0
stockstowatch sc allows impo needle coke hegraphite soril infra resources raise rs cr via warrant,1,0.0
look review lawang wangi dago pakar,1,0.0
seasoned rice chicken chorizo mixed seafood traveldrinkeatrepeat sonoragril paella rice chicken,0,0.6
fodpanda almost always late delivero best far,2,0.6333333333333333
peach melba cloud candied glass fig brûlée club disneyland disneyfod disneylandfod,1,0.0
gosh tell zomato password mix characters,1,0.0
ordered pc bucket yesterday swigy pieces delivered,1,0.0
ios rn developer team place,1,0.0
shifting gear could soon see churn staff affecting around employees even shifted,1,0.0
shifting gear set recast road profit may announce vijay ghadge new coo firm could soon see,0,0.42727272727272725
fantastic offer looking recomendlogodesigner business pro,2,0.9
far weekend bank account victims lazada hermo fodpanda,2,1.0
happened care,1,0.0
shifting gear set recast road profit may announce vijay ghadge new coo firm could soon see churn,0,0.42727272727272725
hey dev getting checked right away reaching mrd,2,0.5357142857142857
thank delivering food time train depaed ditched,1,0.0
might well fodpanda get fried rice tomyam shop less rm,0,0.06666666666666667
photo dili wheels hauz khas new delhi making hungry,2,0.45454545454545453
really shocked see hotel lacks sheer sense hospitality respect pr,0,0.775
photo dili wheels sector gurgaon making hungry,1,0.0
authentic taste old dili dilionwheels order online delivery paners swigy,2,0.475
brunch authentic taste old dili dilionwheels order online delivery paners,2,0.475
china ctrip likely join zomato funding,1,1.0
stockstowatch sc allows impo needle coke hegraphite soril infra resources raise rs cr via warrants,1,0.0
browse swigy get home sickness think need help,1,0.0
one irrational pet peeves friend takes long choose order especially yo,0,0.7
using couple months lunch subscription amp,1,0.0
abuse high still poor way cld controlled,0,0.57
staups gt companies changed behaviour ola swigyzomato flipkamazon fintech paytm lo,1,0.0
expected gold glitters zomato biggest hit also toughest puzzle,0,0.4
fodpanda someone ordering account,1,0.0
pivoting continue focus payments play lending natural extension paym,2,0.4
swigy everywhere vadodara,1,0.0
dahmakan fodpanda food house area,1,0.0
well ignores move giving low customer satisfaction wow,2,0.65
distrust pl seriously delivering like even give,0,0.6666666666666666
shameful act done really disbelieve,2,0.2
seem reach amp address concerns aki,1,0.0
zomato likely get million china travel booking website ctrip says repo cnbctv china travel,1,1.0
zomato delivery guy refresh allowed inside society seems gave friend ps,1,0.0
long holidays come relax fok yew love serve fun tasty food amp chinese tea eve,2,0.3
hey guys mostly great team player working outdoor ads spot one yo,2,0.75
scoop today china largest travel booking company ctrip likely join zomato funding round,0,0.7
china ctrip may put million zomato,1,0.0
helohow much time swigy takes make restaurant liveis swigy slow takes almost,0,0.3
investment ctrip goes significant one chinese major largely acquired,2,0.45089285714285715
ordering zomato st sept ordering,1,0.0
etretail china ctrip likely join zomato funding,1,1.0
still waiting long swigy executive writes back still swigy trying updating,0,0.2
china ctrip may put million zomato staups,1,0.0
blinked fodpanda said lem schedule ur order chain another state big deal jus gna take hours one,1,0.1
still resolution replyno refund also order deliveredrequest save mon,1,0.0
china ctrip may put million zomato staupindia,1,0.0
lol taking chicken potatoes green,2,0.65
hey join zomato gold get food drinks also get using referral code bhoki,1,0.0
owe explanation order delivered som,1,0.0
look review mondo kitchen gota,1,0.0
another complain letter fodpanda coming previously cold food today sent raw food wanted,0,0.7307692307692308
got idea increase revenue interested hear,2,0.5
thought swigy take action bad service provided delivery boy swigy delive,0,0.3833333333333333
please dont order swigy totally bad servicesand food also evil day order chicken,0,0.8722222222222221
scoop today china largest travel booking company ctrip likely join zomato funding round expected,0,0.6
zomatoaple apple japanese su,1,0.0
instant solution hunger pangs order favourite food mr puff swigy yes,1,0.6666666666666666
zomatoaple apple japanese sushi,1,0.0
liked video ajaz khan angry reaction zomato food delivery service,2,0.9
gunpowder asagao goa zomato,1,0.0
visit marcopolo food make forget everything else even mondayblues,1,0.0
welcome group,2,0.9
yesterday ordered biryani behrouz zomato try different taste received,1,0.6
basically cut incentive also going,1,0.0
contestale depika rewards box chinese rigorous workout indulge share pictur,1,0.0
contestale depika enjoys chocolate donut moment solitude favorite dese share picture yo,2,1.0
everyday scene bangalore know someone hungry waiting fo flouting traffic rul,0,0.6
thought bogo meant buy one get one free would guys charge twice,2,0.8
zomato enters bb space tonguestun buy amazon hits market cap ecomerce,1,0.0
instance food aggregator zomato donned gay pride colours twitter saying let get one thing straigh,2,0.5833333333333334
seems really odd getting checked right away aki,2,0.39285714285714285
initially thought mistake amount would get credited back,1,0.0
two orders getting delivered person also communicated,1,0.0
dili wheels opening second branch home delivery jia sarai hauz khas collaboration,1,0.0
weekend gorging mumbaifod cafe look review grandma café dar east mumbai,1,0.0
ctrip might invest million zomato food news investment delivery travel service business,1,0.0
click link go follow follow food journey,1,0.0
foodie fodbloger fodreview fodstagram food fodgasm influencer,1,0.0
team dili wheels men black authentic taste old dili dilionwheels order online,2,0.4611111111111111
enjoy fresh tasty healthy breakfast anda bhavan dubai visit us lake terrace tower cluster jlt ord,2,0.5
enjoy fresh tasty healthy breakfast anda bhavan dubai visit us lake terrace tower cluster jlt order,2,0.5
zomato eyes mn funding bn valuation china ctrip venturecanvas,1,0.0
know da dislike weltheir supo delivery time,1,0.0
andhjrjfowkej ally far away know love swigy,2,0.8
hey zomato plz check must needed items ur menu cards order,1,0.0
hi guys inform please use fake food delivery ap zomato provides low quali,0,0.65
hey join zomato gold get food drinks also get using referral code mail,1,0.0
whatever like deliver relish favorites comfo order food home us,1,0.0
tried order dese fodpanda due network error unfounately could process paymentnw unable,0,0.4375
using zomato gold forbid use seafood dishes,1,0.0
placed order zomato,1,0.0
order id placed order zomato dominos pizza ordered,1,0.0
prevent use zomato gold seafood dishes lower parel restaurant th,1,0.0
completely wrong sell one amp ask,0,0.9
fair usage policy zomato gold oh well gold good lasted renewing,2,0.75
zomato eyes mn funding bn valuation china ctrip zomato funding,1,0.0
last used fodpanda orders buko fucking pandan ready order,0,0.45555555555555555
item missing order complaint filed swigy swigy,0,0.125
zomato may raise mn china ctrip first hit bn valuation mark zomato swigy,2,0.3333333333333333
placed order zomato give,1,0.0
godi saw many riders swigy zomato drive rough reach location target time,2,0.45
dish chicken mildly spiced curry sauce buterchicken contact us follow,0,0.725
zomato eyes mn fund ctrip decaup cardekho sometimes seeing disbelieve,1,0.0
hv ordered fodpanda frozenbotle yswzram yswmewq yswqze orders declined frozen bottle,1,0.0
china ctrip may put million zomato economic times via,2,0.2
zomato eyes mn funding bn valuation china ctrip,1,0.0
delivered filed fodpanda,1,0.0
package delivered filed swigy swigy,1,0.0
whenever need freshly prepared goodness got order scotsy swigy zomato,2,0.5
zomato froad company food come money return mithun jha,1,0.0
many restaurants still showing swigy bandh good goodness,2,0.55
voucher still idle request please write escalation team,1,0.0
hv onestop shop food terms havg recipesvideos popular dishes frm,2,0.9
register swigy amyow earn discount download,1,0.0
like guys want follow zomato stuff,1,0.0
hi welcome offer first time swigy user,2,0.6166666666666667
zomato already taking baby steps ensure packaging wastage minimal possible unmake al,0,0.8
excited announce completed acquisition tonguestun related news mission better food,2,0.5499999999999999
old pakcik badas fodpanda everwhere last month saw jurong west hawker centre gek poh vile,2,0.13333333333333333
sorry getting checked aki,0,1.0
rather customer fodpanda use give offer impress uncertain service,1,0.0
excited swigy gold sponsor aws community day bengaluru grab tickets,2,0.75
worst service provider days make us wait total delivery time,0,0.875
hate badas old pakcik fodpanda annoying bastard,0,0.6666666666666666
old pakcik badas fodpanda still people way meet like gangs,2,0.2
excited swigy gold sponsor aws community day bengaluru grab tickets community,2,0.75
